elapsed_s,duration_ms,time_to_goal,path_cost,obstacle_checks,rewire_neighbor_searches,orphaned_nodes,collision_count
28.9133,0.000183,8.44,0,0,1436,16,3
28.9133,0.000537,8.44,0,0,1436,16,3
28.9414,0.000186,8.42,0,0,1436,16,3
28.9414,0.000543,8.42,0,0,1436,16,3
28.9692,0.000232,8.4,0,0,1436,16,3
28.9692,0.000477,8.4,0,0,1436,16,3
28.9967,0.000361,8.38,0,0,1436,16,3
28.9967,0.000436,8.38,0,0,1436,16,3
29.0252,0.000495,8.36,0,0,1436,16,3
29.0252,0.000509,8.36,0,0,1436,16,3
29.0509,0.000322,8.34,0,0,1436,16,3
29.0509,0.000459,8.34,0,0,1436,16,3
29.0792,0.000411,8.32,0,0,1436,16,3
29.0792,0.000479,8.32,0,0,1436,16,3
29.1075,0.00018,8.3,0,0,1436,16,3
29.1075,0.00033,8.3,0,0,1436,16,3
29.1335,0.000296,8.28,0,0,1436,16,3
29.1335,0.000793,8.28,0,0,1436,16,3
29.1619,0.000185,8.26,0,0,1436,16,3
29.1619,0.000363,8.26,0,0,1436,16,3
29.1892,0.000267,8.24,0,0,1436,16,3
29.1892,0.000513,8.24,0,0,1436,16,3
29.2163,0.000258,8.22,0,0,1436,16,3
29.2163,0.000386,8.22,0,0,1436,16,3
29.2434,91.9403,8.2,0,0,1548,24,3
29.3406,0.000324,8.18,0,0,1548,24,3
29.3406,0.000356,8.18,0,0,1548,24,3
29.3668,0.000191,8.16,0,0,1548,24,3
29.3668,0.000293,8.16,0,0,1548,24,3
29.3918,0.00018,8.14,0,0,1548,24,3
29.3918,0.00041,8.14,0,0,1548,24,3
29.4169,0.000185,8.12,0,0,1548,24,3
29.4169,0.000442,8.12,0,0,1548,24,3
29.4419,0.000286,8.1,0,0,1548,24,3
29.4419,0.000209,8.1,0,0,1548,24,3
29.4673,0.000173,8.08,0,0,1548,24,3
29.4673,0.000475,8.08,0,0,1548,24,3
29.4951,0.00021,8.06,0,0,1548,24,3
29.4951,0.00038,8.06,0,0,1548,24,3
29.5205,0.000152,8.04,0,0,1548,24,3
29.5205,0.00037,8.04,0,0,1548,24,3
29.5474,0.000267,8.02,0,0,1548,24,3
29.5474,0.000474,8.02,0,0,1548,24,3
29.5724,0.000164,8,0,0,1548,24,3
29.5724,0.00035,8,0,0,1548,24,3
29.5979,0.000298,7.98,0,0,1548,24,3
29.5979,0.000243,7.98,0,0,1548,24,3
29.6236,0.000168,7.96,0,0,1548,24,3
29.6236,0.00034,7.96,0,0,1548,24,3
29.6491,0.000218,7.94,0,0,1548,24,3
29.6491,0.000471,7.94,0,0,1548,24,3
29.6772,0.000166,7.92,0,0,1548,24,3
29.6772,0.000732,7.92,0,0,1548,24,3
29.7024,0.000457,7.9,0,0,1548,24,3
29.7024,0.00051,7.9,0,0,1548,24,3
29.7285,0.000361,7.88,0,0,1548,24,3
29.7285,0.000383,7.88,0,0,1548,24,3
29.7531,0.000252,7.86,0,0,1548,24,3
29.7531,0.000567,7.86,0,0,1548,24,3
29.7786,0.000336,7.84,0,0,1548,24,3
29.7786,0.000412,7.84,0,0,1548,24,3
29.8048,0.000333,7.82,0,0,1548,24,3
29.8048,0.000552,7.82,0,0,1548,24,3
29.8323,0.00043,7.8,0,0,1548,24,3
29.8323,0.000469,7.8,0,0,1548,24,3
29.8595,0.000385,7.78,0,0,1548,24,3
29.8595,0.00044,7.78,0,0,1548,24,3
29.8846,68.8653,7.76,0,0,1200,0,3
29.9581,0.000251,7.74,0,0,1200,0,3
29.9581,0.000385,7.74,0,0,1200,0,3
29.983,0.000639,7.72,0,0,1200,0,3
29.983,0.000373,7.72,0,0,1200,0,3
30.0075,0.000437,7.7,0,0,1200,0,3
30.0075,0.000284,7.7,0,0,1200,0,3
30.0322,0.00035,7.68,0,0,1200,0,3
30.0322,0.00034,7.68,0,0,1200,0,3
30.0564,0.000198,7.66,0,0,1200,0,3
30.0564,0.00036,7.66,0,0,1200,0,3
30.0817,0.000234,7.64,0,0,1200,0,3
30.0817,0.000369,7.64,0,0,1200,0,3
30.1062,0.000343,7.62,0,0,1200,0,3
30.1062,0.0003,7.62,0,0,1200,0,3
30.1314,0.000217,7.6,0,0,1200,0,3
30.1314,0.000524,7.6,0,0,1200,0,3
30.1569,0.000608,7.58,0,0,1200,0,3
30.1569,0.000343,7.58,0,0,1200,0,3
30.1825,0.000358,7.56,0,0,1200,0,3
30.1825,0.000501,7.56,0,0,1200,0,3
30.2103,0.000593,7.54,0,0,1200,0,3
30.2103,0.000913,7.54,0,0,1200,0,3
30.2352,0.000491,7.52,0,0,1200,0,3
30.2352,0.000423,7.52,0,0,1200,0,3
30.2627,0.000179,7.5,0,0,1200,0,3
30.2627,0.000504,7.5,0,0,1200,0,3
30.2908,0.000371,7.48,0,0,1200,0,3
30.2908,0.000307,7.48,0,0,1200,0,3
30.318,0.000156,7.46,0,0,1200,0,3
30.318,0.000395,7.46,0,0,1200,0,3
30.344,0.00021,7.44,0,0,1200,0,3
30.344,0.000785,7.44,0,0,1200,0,3
30.3729,0.000614,7.42,0,0,1200,0,3
30.3729,0.000745,7.42,0,0,1200,0,3
30.4023,0.000664,7.4,0,0,1200,0,3
30.4023,0.000598,7.4,0,0,1200,0,3
30.4289,0.000451,7.38,0,0,1200,0,3
30.4289,0.000323,7.38,0,0,1200,0,3
30.4539,0.000151,7.36,0,0,1200,0,3
30.4539,0.000297,7.36,0,0,1200,0,3
30.4786,0.000182,7.34,0,0,1200,0,3
30.4786,0.000581,7.34,0,0,1200,0,3
30.5049,0.000487,7.32,0,0,1200,0,3
30.5049,0.000366,7.32,0,0,1200,0,3
