node_id,x0,x1,x2,x3,x4,parent_id
110,-32.26078951,-12.65534908,-0.05349665094,6.730774947,28.76194566,46
111,-16.12816079,-17.21171917,2.790955164,-7.060347955,25.26839898,21
112,-29.38106082,0.3965037644,-6.921574875,4.781605662,36.81701446,63
113,31.81442389,-27.87927304,1.307605415,-2.040423796,39.12689218,52
114,-20.2531902,-4.900298526,1.183615134,-4.558962253,37.82083224,156
115,-22.34107609,-3.795824371,2.921811819,0.7595208169,18.87036494,109
116,-40.30080861,3.805929401,-5.412639422,5.152327418,37.12370131,198
117,-12.55453748,-29.90506342,-5.581822047,-4.529716518,35.35425107,28
118,-22.02815735,-4.004424939,-1.42661626,-6.818032876,19.47837193,259
119,-44.34160948,-44.06973598,5.115400818,-3.859916389,16.28840177,0
120,-22.69087158,22.2940531,2.525785164,-0.7364985886,36.99855657,157
121,-47.12249962,-42.85174389,3.899839688,6.782507897,15.91014557,39
122,-20.89357812,-27.23032482,4.56385938,11.25771173,28.12587195,82
123,-12.86756432,2.135320777,2.889977027,-6.583470149,36.96085429,258
124,-44.46613425,-40.34184282,-5.302781882,4.172289539,7.244550291,0
125,-14.81626039,-28.91324123,-8.838967616,1.175439272,35.99802312,82
126,-46.29990675,-42.76354641,5.321149208,0.5997669303,34.75360828,11
127,-35.77919527,6.050635714,-7.15698944,0.971204129,35.79990336,78
128,-28.11271943,-26.92670416,10.70863169,-0.5908052556,30.52425717,4
129,-42.47830133,-39.80528041,5.05772423,-9.444016434,27.10387512,0
130,-25.27515226,5.967025252,5.904862313,-5.579739982,30.32973805,118
131,-39.4860561,-49.17053813,2.616335632,-2.31680856,9.709689342,0
132,-32.01171646,31.55843816,-4.329021424,2.226293721,37.1324245,106
133,-32.09673658,-0.8676676928,-6.107830798,-2.947291841,18.74394413,46
134,-24.02234365,-45.23827419,-3.352664662,1.597971821,31.72968236,44
135,-44.63097173,17.34496153,5.707231746,-10.61906393,37.34566424,78
136,-28.28531715,-24.21872651,-4.323088188,-7.409343928,32.40110704,4
137,-42.29661566,0.3898483936,-9.749821985,4.040627372,30.94378015,203
138,-16.70147929,-22.94879671,-0.5008053107,3.328551896,39.11299011,30
139,-9.373900369,-36.50423167,0.04100806315,2.438007904,30.7858105,91
140,-36.07018025,-29.99494428,2.137545444,0.0622091795,15.23779044,6
141,-17.67214763,-36.85428616,-4.91812225,-4.876709459,35.16842717,44
142,-42.14163976,-15.35975724,2.004631873,7.793915322,32.09352098,2
143,-28.8567196,-22.61660661,-7.974010926,-6.397078862,27.52282449,140
144,-26.84988904,-19.00259714,1.10024037,8.264180936,22.82683957,82
145,-16.11655161,-41.51801716,-4.404127363,9.843790958,36.37367026,174
146,-22.83804495,-0.5878095751,-10.83893451,1.43371492,39.21117537,63
147,-17.42283239,-11.66820538,5.352421147,-5.820089616,26.00237089,259
148,-17.5405127,-43.20919017,-1.887877871,-0.6410971884,19.79492456,23
149,5.20865971,-38.26678246,10.40484214,3.367705442,38.41493083,139
150,-27.22050235,-21.6578992,-8.273407451,-5.90215982,33.65464873,140
151,-28.42763127,-37.52669204,-9.143642843,-9.178755922,12.13623472,12
152,-31.99371155,-6.142380813,5.899208049,4.926468586,22.92476026,109
153,-37.99185738,-42.17806072,6.860661112,9.028335392,11.37574338,6
